Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Customer Paid	Customer Currency	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		3	100	Song	0	EUR	PL	0	0.003698454644
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		3	100	Song	0	EUR	IS	0	0.012941803754
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		54	100	Song	0	EUR	NO	0	0.389486187500
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		3	100	Song	0	EUR	BR	0	0.003755319638
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		8	100	Song	0	EUR	ID	0	0.007549664273
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		7	100	Song	0	EUR	AT	0	0.019258278146
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	CZ	0	0.001678074838
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		34	100	Song	0	EUR	NL	0	0.023907827698
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		35	100	Song	0	EUR	CH	0	0.260041389963
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	PH	0	0.000522934950
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		12	100	Song	0	EUR	AU	0	0.025459907549
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	BG	0	0.000094774991
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		110	100	Song	0	EUR	BR	0	0.203031445452
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		6	100	Song	0	EUR	PE	0	0.001068169897
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	BR	0	0.002315854777
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	DZ	0	0.000001115000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		22	100	Song	0	EUR	NL	0	0.143037761228
